# Spin-echo spectrometer data file
# Start Time 16:1:21 11/9/2023

# System Status at:  16:1:21 11/9/2023
sample description: Microscope
comment:  
nozzle pressure: unused
nozzle temperature: +40.667
source backing pressure: Can't open [ /home/sudy/status/edwardsagc1.status ] at /home/sudy/bin/get_value line 16.
scattering chamber pressure by tpg:  1.4600E-08
crystal temperature: 99.99
manipulator desired alpha: 88.500000
manipulator desired beta: 0.000000
manipulator desired gamma: 0.050000
specular ga: 
detector pressure: Can't open [ /home/sudy/status/ionivac2.status ] at /home/sudy/bin/get_value line 16.
attenuation staus: /bin/bash: read_attenuation.sh: command not found

beam_prperties:
G5 0.53912
Psourse 3.02329e-05
p303 0.242421
p3053 0.001442
wika1 0.985755
wika2 -0.004152
wika3 1.015445
comp 0.042801

Gas:He3

channeltron voltage: 

# scan_1d(1.000000,0.264030,0.284030,41,1,1,1)
# Calibrated current I1
# solenoid:1.000000
# min_value:0.264030
# max_value:0.284030
I1-I2-A:1.020597
I1-I2-B:-0.000640
# other_solenoid_current:0
# numsteps:41
# numloops:1
# count_time:1
# savemode:1
# angular data
# X flag position:10.000000
# Y flag position:10.000000
# loop number 1
2.321751e-10 2.640300e-01 2.640300e-01 0
2.638544e-10 2.645300e-01 2.645300e-01 0
2.556882e-10 2.650300e-01 2.650300e-01 0
2.127834e-10 2.655300e-01 2.655300e-01 0
2.129882e-10 2.660300e-01 2.660300e-01 0
2.717021e-10 2.665300e-01 2.665300e-01 0
2.670652e-10 2.670300e-01 2.670300e-01 0
2.054295e-10 2.675300e-01 2.675300e-01 0
2.070258e-10 2.680300e-01 2.680300e-01 0
2.633885e-10 2.685300e-01 2.685300e-01 0
2.832140e-10 2.690300e-01 2.690300e-01 0
2.344052e-10 2.695300e-01 2.695300e-01 0
1.940825e-10 2.700300e-01 2.700300e-01 0
2.368225e-10 2.705300e-01 2.705300e-01 0
2.892511e-10 2.710300e-01 2.710300e-01 0
2.425149e-10 2.715300e-01 2.715300e-01 0
1.842063e-10 2.720300e-01 2.720300e-01 0
2.403234e-10 2.725300e-01 2.725300e-01 0
2.993141e-10 2.730300e-01 2.730300e-01 0
2.532255e-10 2.735300e-01 2.735300e-01 0
1.860311e-10 2.740300e-01 2.740300e-01 0
2.256313e-10 2.745300e-01 2.745300e-01 0
2.958936e-10 2.750300e-01 2.750300e-01 0
2.729270e-10 2.755300e-01 2.755300e-01 0
2.002352e-10 2.760300e-01 2.760300e-01 0
2.065237e-10 2.765300e-01 2.765300e-01 0
2.725884e-10 2.770300e-01 2.770300e-01 0
2.871962e-10 2.775300e-01 2.775300e-01 0
2.310969e-10 2.780300e-01 2.780300e-01 0
2.010275e-10 2.785300e-01 2.785300e-01 0
2.628482e-10 2.790300e-01 2.790300e-01 0
2.894123e-10 2.795300e-01 2.795300e-01 0
2.313114e-10 2.800300e-01 2.800300e-01 0
2.002364e-10 2.805300e-01 2.805300e-01 0
2.562238e-10 2.810300e-01 2.810300e-01 0
2.804671e-10 2.815300e-01 2.815300e-01 0
2.367991e-10 2.820300e-01 2.820300e-01 0
2.062271e-10 2.825300e-01 2.825300e-01 0
2.371886e-10 2.830300e-01 2.830300e-01 0
2.685154e-10 2.835300e-01 2.835300e-01 0
2.500973e-10 2.840300e-01 2.840300e-01 0
# finish Time 16:2:41 11/9/2023
